iter	Passed	Remaining
0	1	105
1	1	96
2	2	92
3	3	85
4	4	81
5	5	82
6	6	81
7	6	79
8	7	78
9	8	75
10	9	73
11	9	71
12	10	70
13	11	68
14	11	67
15	12	66
16	13	64
17	13	63
18	14	62
19	15	62
20	16	62
21	17	61
22	18	60
23	18	59
24	19	58
25	20	57
26	21	56
27	21	56
28	22	55
29	23	54
30	24	54
31	25	53
32	25	52
33	26	51
34	27	50
35	27	49
36	28	48
37	29	47
38	30	46
39	30	46
40	31	45
41	32	44
42	32	43
43	33	42
44	34	41
45	35	41
46	35	40
47	36	39
48	37	38
49	38	38
50	38	37
51	39	36
52	40	35
53	40	34
54	41	33
55	42	33
56	42	32
57	43	31
58	44	30
59	45	30
60	45	29
61	46	28
62	47	27
63	48	27
64	49	26
65	49	25
66	50	24
67	51	24
68	52	23
69	52	22
70	53	21
71	54	21
72	55	20
73	56	19
74	56	18
75	57	18
76	58	17
77	58	16
78	59	15
79	60	15
80	61	14
81	61	13
82	62	12
83	63	12
84	64	11
85	65	10
86	65	9
87	66	9
88	67	8
89	68	7
90	69	6
91	69	6
92	70	5
93	71	4
94	72	3
95	72	3
96	73	2
97	74	1
98	75	0
99	76	0
