iter	Passed	Remaining
0	173	173459
1	174	87289
2	175	58444
3	176	43964
4	177	35287
5	177	29487
6	178	25345
7	179	22237
8	179	19819
9	180	17886
10	181	16303
11	182	15000
12	182	13892
13	183	12940
14	184	12110
15	185	11382
16	185	10741
17	186	10169
18	187	9660
19	187	9202
20	188	8787
21	189	8409
22	189	8063
23	190	7746
24	191	7458
25	191	7190
26	192	6940
27	193	6708
28	193	6491
29	194	6291
30	195	6103
31	196	5938
32	197	5774
33	197	5618
34	198	5470
35	199	5331
36	199	5199
37	200	5074
38	201	4955
39	201	4842
40	202	4735
41	203	4633
42	203	4536
43	204	4446
44	205	4358
45	206	4272
46	206	4191
47	207	4112
48	208	4038
49	208	3965
50	209	3895
51	210	3830
52	211	3771
53	211	3710
54	212	3654
55	213	3600
56	214	3545
57	215	3491
58	215	3440
59	216	3389
60	217	3341
61	217	3295
62	218	3250
63	219	3206
64	219	3162
65	220	3121
66	221	3080
67	221	3040
68	222	3001
69	223	2964
70	223	2927
71	224	2892
72	225	2859
73	226	2828
74	227	2799
75	227	2770
76	228	2740
77	229	2711
78	230	2682
79	230	2653
80	231	2626
81	232	2599
82	232	2569
83	233	2544
84	234	2519
85	234	2494
86	235	2469
87	236	2445
88	236	2422
89	237	2399
90	237	2377
91	238	2355
92	239	2334
93	240	2315
94	241	2299
95	242	2282
96	243	2262
97	243	2243
98	244	2223
99	245	2205
100	245	2187
101	246	2170
102	247	2153
103	247	2135
104	248	2118
105	249	2101
106	249	2085
107	250	2069
108	251	2052
109	251	2037
110	252	2021
111	253	2006
112	253	1991
113	254	1976
114	255	1963
115	256	1952
116	256	1938
117	257	1926
118	258	1913
119	259	1901
120	259	1888
121	260	1874
122	261	1862
123	261	1850
124	262	1838
125	263	1826
126	263	1813
127	264	1801
128	265	1789
129	265	1778
130	266	1767
131	267	1755
132	267	1744
133	268	1734
134	268	1723
135	269	1712
136	270	1705
137	271	1695
138	272	1686
139	272	1676
140	273	1666
141	273	1655
142	274	1646
143	275	1637
144	276	1628
145	276	1619
146	277	1610
147	278	1601
148	278	1592
149	279	1583
150	280	1575
151	280	1566
152	281	1557
153	282	1549
154	282	1541
155	283	1533
156	284	1525
157	284	1517
158	285	1509
159	286	1503
160	286	1494
161	287	1487
162	288	1479
163	288	1472
164	289	1465
165	290	1458
166	290	1451
167	291	1444
168	292	1437
169	292	1430
170	293	1423
171	294	1416
172	295	1410
173	295	1403
174	296	1396
175	296	1390
176	297	1383
177	298	1377
178	298	1371
179	299	1364
180	300	1359
181	301	1353
182	301	1347
183	302	1341
184	303	1335
185	303	1329
186	304	1323
187	305	1317
188	305	1312
189	306	1306
190	307	1301
191	307	1295
192	308	1290
193	309	1284
194	309	1279
195	310	1273
196	311	1268
197	311	1263
198	312	1257
199	313	1252
200	313	1247
201	314	1242
202	315	1237
203	315	1232
204	316	1228
205	317	1223
206	318	1218
207	318	1214
208	319	1209
209	320	1204
210	320	1199
211	321	1195
212	322	1190
213	322	1186
214	323	1181
215	324	1176
216	324	1172
217	325	1167
218	326	1163
219	326	1158
220	327	1154
221	328	1150
222	328	1145
223	329	1141
224	330	1137
225	331	1134
226	332	1131
227	333	1127
228	333	1123
229	334	1119
230	335	1115
231	336	1112
232	336	1109
233	337	1105
234	338	1101
235	339	1097
236	339	1093
237	340	1089
238	341	1085
239	341	1082
